Bắc Trung Bộ và duyên hải miền Trung,Đắk Nông,11.4,9.4,8.9,18.9,7.3,5.7,42.3,18.4,42.7,3.8,1.5,2.1,2.6,6.5,3.11,4.61,1.69,1.07
Bắc Trung Bộ và duyên hải miền Trung,Lâm Đồng,7.6,6.8,7.1,9.8,8.6,9.2,6.8,8,6,3.9,2.9,3.5,3.3,3.8,4.44,2.07,1.81,1.82
Đông Nam Bộ,Bình Phước,4.6,6.8,5.5,9.2,10.3,10.9,6.7,7.1,8,3.1,7.3,2.1,2.2,5,4.28,1.95,3.62,5.89
Đông Nam Bộ,Tây Ninh,2.6,3.3,1.5,3.5,3.3,5.8,3.9,3.6,5.7,1.8,3,0.6,1.1,2.9,5.98,7.35,5.67,4.05
Đông Nam Bộ,Bình Dương,27.2,60.7,42.3,73.2,89.6,64.8,59.1,54.5,70.2,52,32.3,30.6,53.6,43.4,62.66,35.63,26.36,28.12
Đông Nam Bộ,Đồng Nai,3,11.2,12.3,20.8,27.2,31.4,18.5,14.6,23.6,20.4,16.5,4.5,6.8,13.3,12.21,9.5,7.75,5.41
Đông Nam Bộ,Bà Rịa - Vũng Tàu,8.7,9.1,5.4,12.5,13.3,16.5,10.5,10.8,15,6,4.6,2.6,2.4,7.6,7.48,4.85,3.42,5.04
Đông Nam Bộ,TP. Hồ Chí Minh,19.1,30.8,21.2,31.3,26.2,25,14.8,16.5,16.9,10.4,10.7,8.5,9.3,18.3,21.91,25.4,10.89,10.63
Đồng bằng sông Cửu Long,Long An,2.6,4.6,3.8,5.9,5.5,3.8,4.7,4.7,6.2,4.5,3.8,1.3,2.2,9.5,9.14,8.67,6.13,7.47
Đồng bằng sông Cửu Long,Tiền Giang,5.2,5.1,6.5,3.1,9,8.5,8.1,9.8,7.6,4.3,5.3,3.7,4.4,2.7,4.12,3.71,3.54,2.48
Đồng bằng sông Cửu Long,Bến Tre,2,3.4,3.4,2.3,2.2,5.8,2.5,5.3,7.4,3.7,2.3,2.5,2.6,2.5,3.24,3.04,3.68,3.27
Đồng bằng sông Cửu Long,Trà Vinh,2,3.7,7.1,2.3,5,11.4,4,9.5,7.4,2.8,1.4,2,1.2,1.7,0.78,1.64,1.08,1.4
Đồng bằng sông Cửu Long,Vĩnh Long,2.4,2.6,1.9,4.5,4.2,7.6,8,9.9,5.6,2.5,4.3,3.9,3.2,3.3,4.66,3.1,4.84,3.34
Đồng bằng sông Cửu Long,Đồng Tháp,2.3,2.3,2,2.5,4.1,5.8,2.5,3.8,3.2,1.8,1.2,0.7,2.5,1.6,2.43,1.79,1.29,3.33
Đồng bằng sông Cửu Long,An Giang,1.4,1.8,2.1,1.8,3.6,3.9,2.2,3.1,4.3,2.1,1.3,1.3,2.1,1.2,1.83,2.93,1.69,1.21
Đồng bằng sông Cửu Long,Kiên Giang,3.4,4.8,3.3,2.5,5.8,7.3,4.4,4.1,3,2,1.9,2.1,0.9,2.8,1.34,1.46,2.36,1.15
Đồng bằng sông Cửu Long,Cần Thơ,5.1,6.4,4.4,10.2,9.8,6.9,8.9,9.6,8.2,3.1,3.6,7.3,4.4,9,14.44,12.46,16.17,8.24
Đồng bằng sông Cửu Long,Hậu Giang,2.4,3.3,6.3,3.3,4,7.7,7.7,6.7,4.5,1.8,1.3,0.3,2.7,2.3,1.32,1.08,5.8,1.45
Đồng bằng sông Cửu Long,Sóc Trăng,2.5,1.6,4,1.9,2.8,3.1,2,3.2,3.4,1,1.2,0.7,0.5,1.2,1.02,0.93,0.72,2.52
Đồng bằng sông Cửu Long,Bạc Liêu,1.8,1.6,1.4,1.5,2.6,3,2.4,2.5,2.5,1.3,0.7,0.4,0.2,1.4,3.26,0.31,0.52,4.39
Đồng bằng sông Cửu Long,Cà Mau,1.8,0.6,1.2,1.4,2.5,4.2,2.4,2.9,2.8,0.5,0.9,0.1,1.1,1.3,0.68,0.82,0.57,0.44
Đồng bằng sông Hồng,,2.5,3.4,2.5,3.2,3.5,4.5,2.7,3.6,3.1,1.8,1.7,1.3,2.1,3.3,4.8,4.8,3.66,4
Trung du và miền núi phía Bắc,,1.9,2.8,2.2,1.8,2.3,2.8,1.6,2.7,2.3,1.1,0.8,0.7,0.7,1,0.7,0.9,0.48,0.36
Bắc Trung Bộ và duyên hải miền Trung,,2,3.5,2.6,1.3,3.1,4.7,2.1,5,5.3,2.6,1.9,2.4,1.1,1,1,1.4,1.45,1.22
Đông Nam Bộ,,10.3,16.8,14.2,25.3,24.8,23.4,15.5,15.7,18.5,12.8,10.8,7.9,11.8,16.1,20.4,17.9,10.31,9.57
Đồng bằng sông Cửu Long,,0.8,1.4,1.6,0.9,1.8,3.1,1.5,2.7,2.2,1.1,1.1,0.6,1,1,1.2,1.3,1.44,1.32
