Longtitude,Latitude,id,ISO3166_2_CODE,Name_EN,Name_VI,Total_Forest_Area,Natural_Forest_Area,Planted_Forest_Area,Coverage_Percentage
116.4703552,9.79069673,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.4551634,9.834256841,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.320362,9.868641496,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.4255731,9.886656709,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.39246,9.891747572,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.462579,9.906407513,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5941878,9.904501891,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.4917503,9.916377652,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.514854,9.91751772,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.5092793,9.904802574,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5252056,9.936002675,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5660545,9.964367586,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5935999,9.983617424,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.6368871,9.964046812,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.1497141,10.12211231,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
113.8503818,10.06352712,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.359723,10.17791173,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.2951341,10.18501683,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.4910097,10.24211817,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5569627,10.25193204,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
113.6148028,10.26006174,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.6298918,10.27857775,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.6088933,10.3185921,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5752575,10.31817207,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.4894576,10.32756256,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.6814404,10.33573177,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.7205273,10.34664159,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5116652,10.35449729,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.762493,10.36733743,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.6581628,10.3323473,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.4115834,10.37875139,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.4613126,10.37927306,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5664532,10.36504711,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.5191766,10.39022682,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.7115394,10.50212228,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.5629204,10.50047677,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.73229,10.52975176,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.7777603,10.50964747,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.5871299,10.54783199,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.9111222,10.52899687,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.8118946,10.63053191,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.3272415,10.70423753,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5224482,10.70785762,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.1824928,10.68423734,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.6863114,10.784852,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.579928,10.75265197,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.2608775,10.80551223,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.1997031,10.79081227,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.628787,10.80820735,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.7965029,10.82243287,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.815064,10.72217684,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.3123966,10.82439292,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.2238743,10.83199236,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5215258,10.85531267,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.2422495,10.85633273,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5409555,10.87040741,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.245199,10.88687253,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.6441778,10.85988721,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.3799585,10.88539234,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.9204719,10.88747192,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.4302437,10.89045216,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5867471,10.86178694,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
