Region,Province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bắc Trung Bộ và duyên hải miền Trung,Kon Tum,6.7,8.8,11.8,13.3,6.7,3.9,1.5,2.5,0.7,2.7,1.01,1.4,0.59
Bắc Trung Bộ và duyên hải miền Trung,Gia Lai,3.7,4.9,4.9,8,5.2,1.7,1.7,1.3,0.8,1.9,1.42,0.49,0.54
Bắc Trung Bộ và duyên hải miền Trung,Đắk Lắk,6.9,7.7,8.4,9.7,3.7,2.5,2.7,2.3,1.2,2,0.86,1.18,1.75
Bắc Trung Bộ và duyên hải miền Trung,Đắk Nông,7.3,5.7,42.3,18.4,42.7,3.8,1.5,2.1,2.6,6.5,3.11,4.61,1.69
Bắc Trung Bộ và duyên hải miền Trung,Lâm Đồng,8.6,9.2,6.8,8,6,3.9,2.9,3.5,3.3,3.8,4.44,2.07,1.81
Đông Nam Bộ,Bình Phước,10.3,10.9,6.7,7.1,8,3.1,7.3,2.1,2.2,5,4.28,1.95,3.62
Đông Nam Bộ,Tây Ninh,3.3,5.8,3.9,3.6,5.7,1.8,3,0.6,1.1,2.9,5.98,7.35,5.67
Đông Nam Bộ,Bình Dương,89.6,64.8,59.1,54.5,70.2,52,32.3,30.6,53.6,43.4,62.66,35.63,26.36
Đông Nam Bộ,Đồng Nai,27.2,31.4,18.5,14.6,23.6,20.4,16.5,4.5,6.8,13.3,12.21,9.5,7.75
Đông Nam Bộ,Bà Rịa - Vũng Tàu,13.3,16.5,10.5,10.8,15,6,4.6,2.6,2.4,7.6,7.48,4.85,3.42
Đông Nam Bộ,TP. Hồ Chí Minh,26.2,25,14.8,16.5,16.9,10.4,10.7,8.5,9.3,18.3,21.91,25.4,10.89
Đồng bằng sông Cửu Long,Long An,5.5,3.8,4.7,4.7,6.2,4.5,3.8,1.3,2.2,9.5,9.14,8.67,6.13
Đồng bằng sông Cửu Long,Tiền Giang,9,8.5,8.1,9.8,7.6,4.3,5.3,3.7,4.4,2.7,4.12,3.71,3.54
Đồng bằng sông Cửu Long,Bến Tre,2.2,5.8,2.5,5.3,7.4,3.7,2.3,2.5,2.6,2.5,3.24,3.04,3.68
Đồng bằng sông Cửu Long,Trà Vinh,5,11.4,4,9.5,7.4,2.8,1.4,2,1.2,1.7,0.78,1.64,1.08
Đồng bằng sông Cửu Long,Vĩnh Long,4.2,7.6,8,9.9,5.6,2.5,4.3,3.9,3.2,3.3,4.66,3.1,4.84
Đồng bằng sông Cửu Long,Đồng Tháp,4.1,5.8,2.5,3.8,3.2,1.8,1.2,0.7,2.5,1.6,2.43,1.79,1.29
Đồng bằng sông Cửu Long,An Giang,3.6,3.9,2.2,3.1,4.3,2.1,1.3,1.3,2.1,1.2,1.83,2.93,1.69
Đồng bằng sông Cửu Long,Kiên Giang,5.8,7.3,4.4,4.1,3,2,1.9,2.1,0.9,2.8,1.34,1.46,2.36
Đồng bằng sông Cửu Long,Cần Thơ,9.8,6.9,8.9,9.6,8.2,3.1,3.6,7.3,4.4,9,14.44,12.46,16.17
Đồng bằng sông Cửu Long,Hậu Giang,4,7.7,7.7,6.7,4.5,1.8,1.3,0.3,2.7,2.3,1.32,1.08,5.8
Đồng bằng sông Cửu Long,Sóc Trăng,2.8,3.1,2,3.2,3.4,1,1.2,0.7,0.5,1.2,1.02,0.93,0.72
Đồng bằng sông Cửu Long,Bạc Liêu,2.6,3,2.4,2.5,2.5,1.3,0.7,0.4,0.2,1.4,3.26,0.31,0.52
Đồng bằng sông Cửu Long,Cà Mau,2.5,4.2,2.4,2.9,2.8,0.5,0.9,0.1,1.1,1.3,0.68,0.82,0.57
Đồng bằng sông Hồng,,3.5,4.5,2.7,3.6,3.1,1.8,1.7,1.3,2.1,3.3,4.8,4.8,3.66
Trung du và miền núi phía Bắc,,2.3,2.8,1.6,2.7,2.3,1.1,0.8,0.7,0.7,1,0.7,0.9,0.48
Bắc Trung Bộ và duyên hải miền Trung,,3.1,4.7,2.1,5,5.3,2.6,1.9,2.4,1.1,1,1,1.4,1.45
Đông Nam Bộ,,24.8,23.4,15.5,15.7,18.5,12.8,10.8,7.9,11.8,16.1,20.4,17.9,10.31
Đồng bằng sông Cửu Long,,1.8,3.1,1.5,2.7,2.2,1.1,1.1,0.6,1,1,1.2,1.3,1.44
